Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
92065,433000.0,687.875,524.0,559.0,571.0,551.333333333
92067,2737100.0,817.666666667,97.0,105.0,113.0,105.0
92069,435800.0,682.111111111,982.0,1177.0,1046.0,1068.33333333
92071,396000.0,696.1,815.0,805.0,776.0,798.666666667
92075,1172600.0,752.333333333,214.0,234.0,244.0,230.666666667
92078,502000.0,689.714285714,551.0,661.0,711.0,641.0
92081,466600.0,652.0,327.0,402.0,396.0,375.0
92082,503200.0,717.4,354.0,311.0,349.0,338.0
92083,366800.0,654.5,708.0,689.0,706.0,701.0
92084,447300.0,639.25,788.0,798.0,859.0,815.0
92101,486800.0,554.222222222,312.0,311.0,365.0,329.333333333
92102,363200.0,633.363636364,561.0,536.0,577.0,558.0
92103,611200.0,730.2,298.0,284.0,307.0,296.333333333
92104,478800.0,679.666666667,132.0,104.0,118.0,118.0
92105,318500.0,629.0,746.0,678.0,730.0,718.0
92106,925700.0,668.222222222,469.0,438.0,483.0,463.333333333
92107,766900.0,749.0,160.0,149.0,141.0,150.0
92109,718700.0,691.714285714,347.0,314.0,294.0,318.333333333
92110,503000.0,722.0,105.0,88.0,92.0,95.0
92111,474300.0,623.666666667,661.0,613.0,658.0,644.0
92113,303300.0,573.333333333,792.0,784.0,767.0,781.0
92114,342000.0,604.615384615,815.0,719.0,770.0,768.0
92115,397100.0,637.272727273,591.0,587.0,708.0,628.666666667
92116,461600.0,647.25,143.0,119.0,118.0,126.666666667
92117,513200.0,662.076923077,1081.0,939.0,947.0,989.0
92118,1424100.0,747.75,253.0,251.0,259.0,254.333333333
92119,487000.0,714.4,241.0,222.0,196.0,219.666666667
92120,506600.0,741.333333333,409.0,394.0,391.0,398.0
92121,515300.0,564.0,89.0,111.0,136.0,112.0
92122,589500.0,700.4,315.0,263.0,295.0,291.0
92123,466800.0,673.285714286,292.0,259.0,271.0,274.0
92124,545000.0,681.0,601.0,524.0,511.0,545.333333333
92126,461200.0,722.333333333,687.0,631.0,650.0,656.0
92127,683300.0,783.375,479.0,494.0,496.0,489.666666667
92128,526900.0,729.166666667,545.0,507.0,508.0,520.0
92129,652300.0,754.833333333,919.0,940.0,969.0,942.666666667
92130,896100.0,809.666666667,899.0,945.0,1035.0,959.666666667
92131,671500.0,722.142857143,387.0,341.0,384.0,370.666666667
92139,341000.0,666.285714286,537.0,502.0,520.0,519.666666667
92154,357500.0,650.625,1196.0,1185.0,1233.0,1204.66666667
92173,327700.0,666.333333333,387.0,326.0,357.0,356.666666667
92201,198700.0,684.941176471,1059.0,1085.0,1170.0,1104.66666667
92203,294400.0,657.0,170.0,172.0,181.0,174.333333333
92210,701500.0,813.0,51.0,50.0,56.0,52.3333333333
92211,325000.0,796.0,54.0,56.0,63.0,57.6666666667
92220,186500.0,632.0,272.0,273.0,265.0,270.0
92223,259100.0,697.666666667,593.0,653.0,721.0,655.666666667
92225,122000.0,468.25,222.0,221.0,221.0,221.333333333
92227,147200.0,579.0,308.0,315.0,375.0,332.666666667
92231,174300.0,560.0,496.0,463.0,556.0,505.0
92234,231100.0,622.875,662.0,656.0,617.0,645.0
92236,174100.0,611.111111111,517.0,508.0,551.0,525.333333333
92240,151000.0,602.0,509.0,471.0,431.0,470.333333333
92243,159400.0,634.470588235,940.0,892.0,993.0,941.666666667
