Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
92832,431400.0,894.0,20.0,14.0,13.0,15.6666666667
92833,471300.0,950.666666667,166.0,171.0,179.0,172.0
92835,663700.0,994.0,15.0,13.0,12.0,13.3333333333
92840,447800.0,906.5,48.0,47.0,55.0,50.0
92841,464200.0,828.0,20.0,18.0,21.0,19.6666666667
92844,435900.0,822.0,15.0,13.0,14.0,14.0
92845,532100.0,932.666666667,83.0,81.0,84.0,82.6666666667
92860,467800.0,885.5,27.0,32.0,32.0,30.3333333333
92861,1167100.0,920.0,45.0,58.0,57.0,53.3333333333
92869,614000.0,888.0,71.0,76.0,80.0,75.6666666667
92870,568400.0,914.333333333,66.0,83.0,80.0,76.3333333333
92879,363300.0,939.333333333,62.0,68.0,69.0,66.3333333333
92880,489900.0,914.857142857,397.0,395.0,418.0,403.333333333
92881,464300.0,916.2,225.0,223.0,200.0,216.0
92882,407800.0,898.833333333,146.0,150.0,162.0,152.666666667
92883,423200.0,951.0,52.0,56.0,59.0,55.6666666667
92886,678300.0,916.333333333,53.0,58.0,57.0,56.0
92887,773900.0,947.0,17.0,15.0,19.0,17.0
93001,494700.0,867.0,14.0,14.0,13.0,13.6666666667
93010,525600.0,904.25,114.0,105.0,110.0,109.666666667
93012,517700.0,916.4,200.0,200.0,188.0,196.0
93021,573700.0,922.0,27.0,31.0,34.0,30.6666666667
93030,420200.0,864.6,203.0,181.0,169.0,184.333333333
93033,352300.0,855.0,496.0,503.0,454.0,484.333333333
93035,487600.0,919.0,41.0,27.0,39.0,35.6666666667
93036,405300.0,868.2,232.0,239.0,240.0,237.0
93041,311800.0,831.5,40.0,42.0,25.0,35.6666666667
93063,478800.0,896.333333333,81.0,88.0,92.0,87.0
93065,485800.0,846.0,244.0,250.0,243.0,245.666666667
93215,147100.0,846.555555556,588.0,589.0,566.0,581.0
93230,160900.0,895.6,111.0,99.0,100.0,103.333333333
93245,182200.0,886.285714286,257.0,254.0,230.0,247.0
93257,143500.0,836.833333333,163.0,171.0,161.0,165.0
93274,147600.0,940.0,17.0,16.0,17.0,16.6666666667
93301,162500.0,780.0,21.0,20.0,21.0,20.6666666667
93306,159100.0,889.0,18.0,12.0,19.0,16.3333333333
93308,173800.0,919.0,15.0,15.0,20.0,16.6666666667
93309,172800.0,928.0,14.0,15.0,13.0,14.0
93311,266000.0,909.666666667,183.0,183.0,171.0,179.0
93312,267200.0,912.888888889,208.0,190.0,189.0,195.666666667
93313,206900.0,854.0,20.0,19.0,18.0,19.0
93314,355600.0,883.0,41.0,39.0,45.0,41.6666666667
93402,420900.0,786.0,54.0,53.0,50.0,52.3333333333
93420,573300.0,816.0,22.0,29.0,25.0,25.3333333333
93422,425200.0,840.0,12.0,12.0,11.0,11.6666666667
93436,254400.0,849.0,24.0,26.0,30.0,26.6666666667
93442,510500.0,829.0,21.0,27.0,24.0,24.0
93454,275200.0,816.333333333,148.0,133.0,135.0,138.666666667
93455,353800.0,788.666666667,48.0,50.0,44.0,47.3333333333
93458,253900.0,837.0,75.0,78.0,85.0,79.3333333333
93534,153200.0,868.0,34.0,36.0,34.0,34.6666666667
93535,172700.0,798.666666667,54.0,51.0,54.0,53.0
93536,259400.0,868.5,181.0,184.0,173.0,179.333333333
93550,180500.0,814.5,34.0,34.0,27.0,31.6666666667
93551,302900.0,895.166666667,219.0,221.0,175.0,205.0
93552,216300.0,882.0,72.0,67.0,57.0,65.3333333333
93555,151700.0,885.0,37.0,38.0,41.0,38.6666666667
93611,259400.0,933.857142857,157.0,170.0,179.0,168.666666667
93612,166800.0,919.0,17.0,12.0,18.0,15.6666666667
93619,373500.0,961.5,52.0,41.0,42.0,45.0
93647,128700.0,843.75,98.0,103.0,102.0,101.0
93654,170100.0,796.0,13.0,14.0,11.0,12.6666666667
93704,193800.0,823.0,13.0,11.0,19.0,14.3333333333
93706,101700.0,892.0,14.0,12.0,12.0,12.6666666667
93720,278300.0,965.25,63.0,56.0,48.0,55.6666666667
93722,189900.0,843.5,58.0,51.0,47.0,52.0
93730,377600.0,926.0,74.0,86.0,95.0,85.0
93901,398700.0,854.666666667,82.0,78.0,77.0,79.0
93905,275300.0,803.0,21.0,20.0,25.0,22.0
93906,321700.0,836.25,503.0,500.0,471.0,491.333333333
93907,385200.0,856.0,29.0,29.0,24.0,27.3333333333
93908,704800.0,821.0,12.0,12.0,12.0,12.0
93933,415600.0,815.0,102.0,97.0,94.0,97.6666666667
93940,617500.0,886.0,50.0,40.0,36.0,42.0
93955,375500.0,841.25,116.0,109.0,113.0,112.666666667
93960,252200.0,839.0,13.0,14.0,11.0,12.6666666667
94002,1210400.0,893.0,86.0,92.0,94.0,90.6666666667
94005,675800.0,885.0,17.0,21.0,16.0,18.0
94010,2053900.0,916.25,95.0,83.0,90.0,89.3333333333
94014,598200.0,807.5,987.0,1004.0,1019.0,1003.33333333
94015,701000.0,850.416666667,1714.0,1888.0,1729.0,1777.0
94022,2764000.0,908.0,20.0,24.0,36.0,26.6666666667
94025,1641100.0,823.0,15.0,14.0,11.0,13.3333333333
94030,1189600.0,865.5,154.0,157.0,166.0,159.0
94040,1508700.0,880.0,72.0,77.0,67.0,72.0
94041,1214900.0,904.0,16.0,15.0,14.0,15.0
94043,909200.0,860.5,57.0,66.0,62.0,61.6666666667
94044,714100.0,853.0,292.0,308.0,327.0,309.0
94062,1613400.0,890.0,60.0,55.0,56.0,57.0
94065,1090900.0,801.5,43.0,44.0,40.0,42.3333333333
94066,732000.0,896.75,288.0,285.0,281.0,284.666666667
94080,698500.0,863.25,507.0,1404.0,607.0,839.333333333
94085,732900.0,850.666666667,190.0,193.0,172.0,185.0
94086,987800.0,892.0,40.0,39.0,41.0,40.0
