Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg,,zindex rank,avg_w rank,,,,
92563,357400,879.3076923,3998,4113,4179,4096.666667,,399,720,,,,
92567,262800,860.25,409,386,371,388.6666667,,261,605,,,,
92570,240500,801.3,416,397,346,386.3333333,,225,232,,,,
92571,227300,839,221,212,239,224,,201.5,456.5,,,,
92582,234000,852.5,138,141,154,144.3333333,,216,551,,,,
92583,184500,796,1035,978,1007,1006.666667,,138,206.5,,,,
92584,309800,868.3333333,2822,2857,2795,2824.666667,,333,657,,,,
92585,280300,820.2,943,932,903,926,,293,331,,,,
92586,182700,865,525,536,442,501,,137,635.5,,,,
92587,345300,895,88,89,89,88.66666667,,386,818.5,,,,
92590,855000,754.6666667,1803,1979,2021,1934.333333,,942,68,,,,
92591,377800,893.4285714,2619,2462,2440,2507,,434,811,,,,
92592,401200,878.9411765,6511,6317,6407,6411.666667,,470,713,,,,
92595,327000,853.2857143,1483,1671,1557,1570.333333,,358,561,,,,
92596,344700,877.2,1039,1105,1124,1089.333333,,385,707,,,,
92602,790000,932.25,1062,1173,1294,1176.333333,,911,1003,,,,
92603,990900,945.75,857,954,941,917.3333333,,980,1043,,,,
92604,682000,917.625,2178,2256,2253,2229,,829,939,,,,
92606,691400,833,390,384,368,380.6666667,,837,420.5,,,,
92612,659300,905,973,1013,976,987.3333333,,805,871.5,,,,
92614,611100,907,830,903,924,885.6666667,,758,890.5,,,,
92618,723800,917,221,227,206,218,,863,936,,,,
92620,768300,922.75,1659,1742,1702,1701,,897,959,,,,
92624,747800,885,201,208,208,205.6666667,,882,754,,,,
92625,1566700,934,628,645,694,655.6666667,,1054,1009,,,,
92626,641900,884,1650,1632,1633,1638.333333,,780,750,,,,
92627,665300,884.25,748,756,756,753.3333333,,811,752,,,,
92629,776700,848.6666667,1367,1398,1361,1375.333333,,904,521,,,,
92630,597800,902.125,3051,2938,2756,2915,,745,855,,,,
92646,682100,902.6,3882,3862,3899,3881,,830,857,,,,
92647,611300,858.7692308,2578,2532,2572,2560.666667,,760,592,,,,
92648,797500,909,2589,2563,2613,2588.333333,,918,900.5,,,,
92649,679100,896.5,2173,2057,1980,2070,,827,822.5,,,,
92651,1432600,925,1910,1913,1873,1898.666667,,1047,973.5,,,,
92653,658300,903,1306,1263,1160,1243,,803,859.5,,,,
92655,448100,859,123,109,107,113,,568,597.5,,,,
